Product_name,Pricing,Ratings
Apple iPhone SE (Gold| 32 GB),Rs.17999,4.4
Apple iPhone SE (Space Grey| 32 GB),Rs.17999,4.4
Apple iPhone 6 (Gold| 32 GB),Rs.24999,4.4
Apple iPhone 6 (Space Grey| 32 GB),Rs.24999,4.4
Apple iPhone 6s (Space Grey| 32 GB),Rs.33999,4.4
Apple iPhone 6s (Rose Gold| 32 GB),Rs.33999,4.4
Apple iPhone 6s Plus (Space Grey| 32 GB),Rs.38999,4.5
Apple iPhone 6s Plus (Rose Gold| 32 GB),Rs.37999,4.4
Apple iPhone 6s (Gold| 32 GB),Rs.33999,4.4
Apple iPhone SE (Rose Gold| 32 GB),Rs.17999,4.4
Apple iPhone SE (Silver| 32 GB),Rs.17999,4.4
Apple iPhone 6s Plus (Gold| 32 GB),Rs.37999,4.4
Apple iPhone 7 (Jet Black| 32 GB),Rs.49999,4.5
Apple iPhone 6s (Silver| 32 GB),Rs.34999,4.4
Apple iPhone 8 Plus (Gold| 64 GB),Rs.71999,4.6
Apple iPhone 8 Plus (Silver| 64 GB),Rs.71999,4.6
Apple iPhone 8 (Gold| 64 GB),Rs.62999,4.5
Apple iPhone 7 (Rose Gold| 32 GB),Rs.49999,4.5
Apple iPhone 7 (Black| 32 GB),Rs.49999,4.5
Apple iPhone 7 (Gold| 32 GB),Rs.49999,4.5
Apple iPhone 8 (Silver| 64 GB),Rs.62999,4.5
Apple iPhone 7 Plus (Rose Gold| 128 GB),Rs.66999,4.6
Apple iPhone 6s Plus (Silver| 32 GB),Rs.37999,4.5
Apple iPhone 7 (Silver| 32 GB),Rs.49999,4.5
